survey,country,edyears,pct20_29,pct20_29_male,pct20_29_female,pct20_29_urban,pct20_29_rural,pct20_29_q1,pct20_29_q2,pct20_29_q3,pct20_29_q4,pct20_29_q5
CM6,Cameroon,6,0.68509692,0.7540859,0.62791169,0.83558065,0.47174692,0.18534905,0.49664333,0.65130669,0.82800424,0.94276297
CM6,Cameroon,7,0.52461582,0.59420127,0.46693608,0.69561386,0.28218132,0.11233366,0.2792868,0.39740103,0.65123934,0.84022832
CM6,Cameroon,8,0.48240727,0.5521245,0.42461833,0.65250701,0.24124642,0.090559185,0.23156098,0.35048145,0.59269893,0.8069697
CM6,Cameroon,9,0.42896229,0.49281818,0.37603191,0.59675187,0.19107664,0.066285811,0.16692965,0.29641694,0.52038187,0.76047277
CM6,Cameroon,10,0.33192497,0.39082682,0.28310102,0.48241955,0.11855952,0.033557445,0.095025167,0.18640229,0.38344857,0.65864223
CM6,Cameroon,11,0.26341233,0.31430987,0.22122321,0.39143601,0.081905268,0.019597573,0.056754287,0.13099229,0.28412977,0.56353652
CM6,Cameroon,12,0.18835987,0.22809185,0.15542598,0.28875691,0.046020858,0.010948036,0.023888692,0.073751792,0.18115479,0.44418606
CO7,Colombia,0,1,1,1,1,1,1,1,1,1,1
CO7,Colombia,1,0.98551673,0.98128736,0.98931879,0.99170965,0.95984143,0.95418096,0.98178023,0.99307829,0.99418443,0.99773431
CO7,Colombia,2,0.97971821,0.9744314,0.98446894,0.98913634,0.94067204,0.93113238,0.97666776,0.98974001,0.99376023,0.99700552
CO7,Colombia,3,0.97079724,0.96451122,0.97644126,0.98538727,0.9103092,0.89434212,0.96832871,0.98538518,0.99348468,0.99621844
CO7,Colombia,4,0.95601183,0.94566262,0.96530783,0.9781369,0.86428416,0.83888018,0.94942838,0.97844487,0.99253666,0.99602818
CO7,Colombia,5,0.94131029,0.92732394,0.95387393,0.97107887,0.81789362,0.78466946,0.93365169,0.97153687,0.9887287,0.99482316
CO7,Colombia,6,0.88439518,0.86231804,0.90446353,0.93761921,0.66373581,0.61174816,0.86252904,0.92993629,0.97168875,0.98958135
CO7,Colombia,7,0.85755497,0.83128685,0.88144565,0.91716051,0.61043859,0.55623192,0.81247264,0.90845305,0.96297467,0.9862445
CO7,Colombia,8,0.82473946,0.79237854,0.85409635,0.89117873,0.54929125,0.49082401,0.76224399,0.87596601,0.94733238,0.98050839
CO7,Colombia,9,0.79493761,0.75942576,0.82710934,0.86570895,0.50152916,0.44210324,0.71313959,0.84204215,0.93455201,0.97373903
CO7,Colombia,10,0.76068687,0.72269446,0.79506451,0.83456236,0.45440909,0.38767439,0.66644627,0.80003101,0.91201222,0.96575415
CO7,Colombia,11,0.73199826,0.69357139,0.76684618,0.80838442,0.41531178,0.34765771,0.62336266,0.76434439,0.89710283,0.95520973
CO7,Colombia,12,0.43557224,0.37927899,0.48646718,0.50508344,0.14738853,0.1050903,0.26218757,0.3911584,0.60695553,0.76260954
DR6,Dominican Republic,0,1,1,1,1,1,1,1,1,1,1
DR6,Dominican Republic,1,0.96834874,0.95837313,0.9782095,0.97696084,0.94381458,0.90554577,0.96965706,0.98058879,0.99542546,0.99600607
DR6,Dominican Republic,2,0.95612264,0.94663352,0.9655025,0.96570361,0.92882824,0.87032479,0.95933509,0.97250342,0.99072278,0.99555218
DR6,Dominican Republic,3,0.94194663,0.9248476,0.9588486,0.95368212,0.90851432,0.83205128,0.93766713,0.9691422,0.98604882,0.99509829
DR6,Dominican Republic,4,0.92186922,0.89957595,0.94390553,0.93490171,0.88474214,0.78026676,0.91838551,0.9589994,0.97644663,0.98825401
DR6,Dominican Republic,5,0.89698601,0.87072599,0.92294341,0.91485423,0.84608281,0.73466456,0.87718964,0.94287747,0.96284074,0.98393679
DR6,Dominican Republic,6,0.86910933,0.83616102,0.90167797,0.89095592,0.80687249,0.67625284,0.83818012,0.9244743,0.94553077,0.98166066
DR6,Dominican Republic,7,0.84027505,0.80292022,0.87719941,0.8669095,0.76439852,0.6077711,0.80982465,0.89963633,0.93373215,0.97453576
DR6,Dominican Republic,8,0.77938586,0.7374171,0.820871,0.81276029,0.68430835,0.49968061,0.72525054,0.83301902,0.90671611,0.96336454
DR6,Dominican Republic,9,0.70237666,0.64594471,0.75815815,0.73877871,0.59867382,0.38864022,0.62059027,0.73284537,0.86814988,0.93912256
DR6,Dominican Republic,10,0.63760442,0.57470322,0.69978064,0.67260337,0.53789872,0.31913924,0.53189409,0.65517038,0.8174938,0.90499038
DR6,Dominican Republic,11,0.57583588,0.50379723,0.64704424,0.61340475,0.46880886,0.25309178,0.45760977,0.58537233,0.75069952,0.87516379
DR6,Dominican Republic,12,0.51517326,0.43373385,0.59567398,0.55058587,0.414289,0.18798749,0.38694069,0.5264551,0.69595319,0.82273424
ET7,Ethiopia,0,1,1,1,1,1,1,1,1,1,1
ET7,Ethiopia,1,0.69990557,0.81383294,0.60946333,0.92187679,0.63252485,0.41761419,0.61385626,0.659127,0.74553764,0.91417581
ET7,Ethiopia,2,0.6686188,0.77888924,0.5810796,0.91317427,0.59438241,0.37140888,0.56833702,0.62468719,0.71203172,0.90449059
ET7,Ethiopia,3,0.61636293,0.73212498,0.52446419,0.90391535,0.52907461,0.3137396,0.4856841,0.55405855,0.65969902,0.88721138
ET7,Ethiopia,4,0.55668092,0.67101145,0.4659186,0.87734324,0.45934182,0.26183453,0.39774063,0.4780744,0.58573407,0.86199331
ET7,Ethiopia,5,0.4953303,0.603549,0.40941989,0.84150606,0.39024648,0.19490366,0.32376775,0.39912304,0.52634799,0.82198447
ET7,Ethiopia,6,0.44411379,0.53912419,0.368689,0.81281012,0.33219376,0.15468518,0.2557447,0.33499795,0.47229257,0.78569889
ET7,Ethiopia,7,0.39234343,0.48073134,0.32217598,0.77702093,0.27557215,0.11988863,0.19839253,0.26497585,0.41009775,0.74654597
ET7,Ethiopia,8,0.33336094,0.40922898,0.27313253,0.72254789,0.21522082,0.081562519,0.14472482,0.20983061,0.33125988,0.68342084
ET7,Ethiopia,9,0.26798999,0.32191104,0.22518438,0.65689224,0.14993629,0.052252479,0.087374486,0.14197066,0.25408557,0.60163212
ET7,Ethiopia,10,0.23489791,0.27797341,0.20070212,0.61000592,0.12103152,0.037961543,0.060104623,0.11677942,0.21095793,0.55578285
ET7,Ethiopia,11,0.1317112,0.15177082,0.1157868,0.40670645,0.048234709,0.0096388,0.024551079,0.03595103,0.084305421,0.3665286
ET7,Ethiopia,12,0.12266161,0.13984415,0.10902118,0.38239285,0.043818597,0.009057536,0.020317832,0.03181931,0.076985605,0.34509557
GA6,Gabon,0,1,1,1,1,1,1,1,1,1,1
GA6,Gabon,1,0.94453764,0.93556964,0.95152396,0.94387394,0.95027375,0.95342541,0.93394333,0.93104166,0.93307847,1
GA6,Gabon,2,0.9413746,0.9330548,0.94785589,0.94173336,0.93827438,0.94146514,0.93067551,0.92746139,0.93283725,0.97868127
