survey,country,var,var_num,edyears,pct15_19,pct20_29,pct30_39,pct40_49
AM7,Armenia,q2,q2,22,,,,
AM7,Armenia,q2,q2,24,,,.0013710648,
AM7,Armenia,q3,q3,0,1,1,1,1
AM7,Armenia,q3,q3,1,1,1,1,1
AM7,Armenia,q3,q3,2,1,1,1,1
AM7,Armenia,q3,q3,3,1,1,1,1
AM7,Armenia,q3,q3,4,1,1,1,1
AM7,Armenia,q3,q3,5,.99623507,1,.99963659,1
AM7,Armenia,q3,q3,6,,1,,1
AM7,Armenia,q3,q3,7,.98848349,1,.9990648,1
AM7,Armenia,q3,q3,8,.98201537,.99723446,.99605072,1
AM7,Armenia,q3,q3,9,.89806223,.95426881,.92211348,.96229661
AM7,Armenia,q3,q3,10,.71272236,.95063972,.91680497,.95867413
AM7,Armenia,q3,q3,11,.51636672,.60279536,.39754069,.47146159
AM7,Armenia,q3,q3,12,.30029362,.55852669,.38104916,.4422498
AM7,Armenia,q3,q3,13,.087731011,.46447062,.31328207,.36128184
AM7,Armenia,q3,q3,14,.010513926,.32461593,.170662,.22114904
AM7,Armenia,q3,q3,15,.0044329516,.19786818,.10770836,.1781344
AM7,Armenia,q3,q3,16,,.060867917,.01982503,.011204075
AM7,Armenia,q3,q3,17,,.014963384,.011497441,.01005911
AM7,Armenia,q3,q3,18,,.0042642951,.0080286479,.003577166
AM7,Armenia,q3,q3,19,,.00084620609,.003604172,.0016811825
AM7,Armenia,q3,q3,20,,,.0011323758,
AM7,Armenia,q3,q3,21,,,,
AM7,Armenia,q3,q3,22,,,,
AM7,Armenia,q3,q3,24,,,,
AM7,Armenia,q4,q4,0,1,1,1,1
AM7,Armenia,q4,q4,1,1,1,1,1
AM7,Armenia,q4,q4,2,1,1,1,1
AM7,Armenia,q4,q4,3,1,1,1,1
AM7,Armenia,q4,q4,4,1,1,1,1
AM7,Armenia,q4,q4,5,1,1,1,1
AM7,Armenia,q4,q4,6,1,1,1,1
AM7,Armenia,q4,q4,7,1,1,1,1
AM7,Armenia,q4,q4,8,.9977833,.9985202,.99902248,.99543262
AM7,Armenia,q4,q4,9,.93679011,,.96688873,.96235436
AM7,Armenia,q4,q4,10,.80210483,.97499901,.96572524,.96175694
AM7,Armenia,q4,q4,11,.60755795,.73676234,.59821165,.59365034
AM7,Armenia,q4,q4,12,.36217719,.69809312,.5899691,.57894272
AM7,Armenia,q4,q4,13,.108244,.6014865,.51248723,.48003507
AM7,Armenia,q4,q4,14,.031323526,.46073031,.39773157,.29592073
AM7,Armenia,q4,q4,15,,.24229039,.29684728,.25741509
AM7,Armenia,q4,q4,16,,.076093204,.059419185,.029786965
AM7,Armenia,q4,q4,17,,.014179798,.026456403,.023422288
AM7,Armenia,q4,q4,18,,.0044533187,.015648171,
AM7,Armenia,q4,q4,19,,.0016393885,.0083139231,.0086064078
AM7,Armenia,q4,q4,20,,,.0048869508,.0032056924
AM7,Armenia,q4,q4,21,,,,
AM7,Armenia,q4,q4,22,,,,
AM7,Armenia,q4,q4,24,,,,
AM7,Armenia,q5,q5,0,1,1,1,1
AM7,Armenia,q5,q5,1,1,1,1,1
AM7,Armenia,q5,q5,2,1,1,1,1
AM7,Armenia,q5,q5,3,1,1,1,1
AM7,Armenia,q5,q5,4,1,1,1,1
AM7,Armenia,q5,q5,5,1,1,1,1
AM7,Armenia,q5,q5,6,1,1,1,1
AM7,Armenia,q5,q5,7,.99794722,1,1,1
AM7,Armenia,q5,q5,8,.99115831,.9990021,.99970943,1
AM7,Armenia,q5,q5,9,.93739188,.98123962,.98035479,.99063587
AM7,Armenia,q5,q5,10,.84676766,.97851062,.97559303,.98955601
AM7,Armenia,q5,q5,11,.62707132,.81109005,.70397627,.74410951
AM7,Armenia,q5,q5,12,.39706945,.78121448,.69867152,.73127306
AM7,Armenia,q5,q5,13,.13863344,.70729125,.65614074,.65582883
AM7,Armenia,q5,q5,14,.026783142,.55259359,.54672331,.49282283
AM7,Armenia,q5,q5,15,,.32739624,.4215534,.43263778
AM7,Armenia,q5,q5,16,,.12014121,.1033789,.081104614
AM7,Armenia,q5,q5,17,,.027038451,.052079096,.050917875
AM7,Armenia,q5,q5,18,,.0080938525,.028392127,.022682315
AM7,Armenia,q5,q5,19,,.0033788751,.016501959,
AM7,Armenia,q5,q5,20,,,.01245137,.0066875042
AM7,Armenia,q5,q5,21,,,.0043111173,
AM7,Armenia,q5,q5,22,,,.0014963549,
AM7,Armenia,q5,q5,24,,,,
AM7,Armenia,rural,rural,0,1,1,1,1
AM7,Armenia,rural,rural,1,1,1,.99662173,1
AM7,Armenia,rural,rural,2,1,.9975093,.99611259,1
AM7,Armenia,rural,rural,3,1,.99476767,.99511462,.99707222
AM7,Armenia,rural,rural,4,1,.9932425,.99418396,
AM7,Armenia,rural,rural,5,.99679232,.99209464,.99279475,
AM7,Armenia,rural,rural,6,.99462253,.98853874,.9913432,.99590141
AM7,Armenia,rural,rural,7,.9924528,.98744017,.989438,.99378252
AM7,Armenia,rural,rural,8,.98501861,.9867003,.98222417,.99277711
AM7,Armenia,rural,rural,9,.90082908,.89358491,.86113626,.88831043
AM7,Armenia,rural,rural,10,.71904403,.8825407,.85411799,.88479662
AM7,Armenia,rural,rural,11,.48374838,.44587499,.260582,.31820986
AM7,Armenia,rural,rural,12,.28795221,.39000857,.25108358,.29924345
AM7,Armenia,rural,rural,13,.028217021,.28087541,.21117342,.22232915
AM7,Armenia,rural,rural,14,.0048687817,.20035562,.12542856,.09642826
AM7,Armenia,rural,rural,15,,.094535053,.081532449,.069966339
AM7,Armenia,rural,rural,16,,.027860634,.013161731,.0087478273
AM7,Armenia,rural,rural,17,,.0059440252,.0083031319,.0071344473
AM7,Armenia,rural,rural,18,,.0025443123,.0044946517,.0042029228
AM7,Armenia,rural,rural,19,,.0020028481,.0035925491,.0015163424
AM7,Armenia,rural,rural,20,,.0007773515,.0025786366,
AM7,Armenia,rural,rural,21,,,,.00078092172
AM7,Armenia,rural,rural,22,,,,
AM7,Armenia,rural,rural,24,,,.00069278548,
AM7,Armenia,urban,urban,0,1,1,1,1
AM7,Armenia,urban,urban,1,1,1,1,1
AM7,Armenia,urban,urban,2,1,1,.99862272,1
AM7,Armenia,urban,urban,3,1,1,.99851578,1
AM7,Armenia,urban,urban,4,1,.99883568,,1
AM7,Armenia,urban,urban,5,.99782562,,.99806982,1
AM7,Armenia,urban,urban,6,,,,1
AM7,Armenia,urban,urban,7,.99529612,,.99790168,1
AM7,Armenia,urban,urban,8,.99110997,.99822825,.99691635,.99834716
AM7,Armenia,urban,urban,9,.92659712,.97027129,.9530068,.9714573
AM7,Armenia,urban,urban,10,.79507577,.9681766,.94924486,.97003937
AM7,Armenia,urban,urban,11,.58719945,.73084289,.58452624,.61968851
AM7,Armenia,urban,urban,12,.35784277,.69714934,.57506555,.59979272
AM7,Armenia,urban,urban,13,.12268576,.60905087,.51635277,.51615155
AM7,Armenia,urban,urban,14,.025399383,.46096161,.39498693,.34429216
AM7,Armenia,urban,urban,15,.0014465554,.25839102,.29572377,.29792604
AM7,Armenia,urban,urban,16,,.090560891,.066471785,.041479535
AM7,Armenia,urban,urban,17,,.018525541,.032206807,.027898623
AM7,Armenia,urban,urban,18,,.0058758231,.018377872,.011919817
AM7,Armenia,urban,urban,19,,.0020549234,.00980727,.0055318
AM7,Armenia,urban,urban,20,,,.0066483207,.0035773702
AM7,Armenia,urban,urban,21,,,.0017487296,
AM7,Armenia,urban,urban,22,,,.00060689531,
