survey,country,edyears,pct15_19,pct15_19_male,pct15_19_female,pct15_19_urban,pct15_19_rural,pct15_19_q1,pct15_19_q2,pct15_19_q3,pct15_19_q4,pct15_19_q5,pct20_29,pct20_29_male,pct20_29_female,pct20_29_urban,pct20_29_rural,pct20_29_q1,pct20_29_q2,pct20_29_q3,pct20_29_q4,pct20_29_q5,pct30_39,pct30_39_male,pct30_39_female,pct30_39_urban,pct30_39_rural,pct30_39_q1,pct30_39_q2,pct30_39_q3,pct30_39_q4,pct30_39_q5,pct40_49,pct40_49_male,pct40_49_female,pct40_49_urban,pct40_49_rural,pct40_49_q1,pct40_49_q2,pct40_49_q3,pct40_49_q4,pct40_49_q5
DR6,Dominican Republic,14,.021158559,.0086719217,.033378493,.023924541,.013646201,,.0059169573,.0083320905,.029556302,.059906024,.20405015,.13985272,.26750761,.23005229,.12997466,.025956491,.068032958,.13041776,.30836156,.52051091,.21627362,.16476825,.26659808,.24008243,.14270623,.028558804,.088498615,.14196858,.28091627,.52647066,.16359168,.11617279,.20933415,.19482324,.076959834,.01700254,.036488611,.066314124,.16177663,.43268526
DR6,Dominican Republic,15,.0029620107,.002565708,.0033498479,.0040526129,,,,.00061455835,.0015005007,.011960698,.12975524,.088140354,.17089039,.14904116,.07481306,.0099642687,.036352564,.063020907,.18958135,.37280288,.1739001,.12457243,.22209682,.19531338,.10773475,.020108372,.047395047,.10084093,.23300372,.45472914,.14145553,.10161755,.17988507,.16893215,.065239377,.016213004,.03129435,.056844741,.13021965,.38209262
DR6,Dominican Republic,16,.00022299815,.0001243845,.00031950453,.00030514933,,,.00032087922,,,.00078110502,.077993788,.051554665,.10412807,.090727448,.041717883,.0031829816,.018505227,.033967149,.1041237,.24488777,.13463002,.092816129,.17548525,.14980452,.087742023,.010327538,.030193361,.074651659,.15317693,.39392778,.12207602,.087421104,.15550573,.14543967,.057268694,.012765138,.023567207,.04932455,.10341504,.3405332
DR6,Dominican Republic,17,,,,,,,,,,,.024464609,.018086409,.030769154,.02958985,.0098637789,.00033711523,.0044687591,.0091761304,.020497795,.092907161,.041778758,.03104323,.05226827,.048508056,.020985791,.0030891593,.01136172,.02089748,.040957876,.1292485,.034799308,.021651601,.047482166,.041396737,.01649932,.0068094395,.0052613695,.013056547,.027581671,.098460101
DR6,Dominican Republic,18,,,,,,,,,,,.0088550253,.0087648667,.0089439964,.010378687,.0045144814,,.0021187919,.00087687577,.0043705511,.03879717,.017514797,.013417369,.02151843,.020085691,.0095709907,.002114353,.0049953097,.005691031,.014077894,.059271589,.014661752,.0104811,.018694559,.017224491,.0075534559,.0060330234,.0018339192,.0055013909,.0079439869,.042829663
DR6,Dominican Republic,19,,,,,,,,,,,.00047881057,.00065312453,.00030635658,.00064692483,,,,,.0024721352,,.0094367201,.0073689232,.011457263,.010315457,.0067215469,,.0043727485,,.0059984648,.033801511,.0075638006,.0035137294,.011470645,.0081697442,,,,,.0032831586,.02458898
DR6,Dominican Republic,20,,,,,,,,,,,.00010790893,.00021691708,,.00014582879,,,,,.00055716775,,.00708566,.0043498399,.0097589083,.0076047047,.0054819114,,.0036818329,.0019034566,.0029546947,.026005687,.006141149,.0027009372,.0094596939,.0062342165,.005883398,,.0010831952,.0030676802,.0021740296,.0197706
DR6,Dominican Republic,21,,,,,,,,,,,,,,,,,,,,,.0035485714,.0001568523,.006862679,.0046970211,,.00034778059,.0025471894,.00119337,.001278032,.01214995,.001117327,,.0021074221,.0015202729,,,.0005519453,,,.0041494337
DR6,Dominican Republic,22,,,,,,,,,,,,,,,,,,,,,.0016432181,,.003248788,.0021750338,,,,,,.0080463476,,,,,,,,,,
DR6,Dominican Republic,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.00058762764,,.0010667497,.00079961313,,,,,,.0023870899
